chr1:14362-29370	WASH7P
chr11:59939971-59952139	MS4A6A
chr11:60048014-60076445	MS4A4A
chr11:60145958-60163426	MS4A7
chr11:60163487-60185228	MS4A14
chr11:60197062-60215265	MS4A5
chr11:60223282-60238225	MS4A1
chr11:60260251-60274901	MS4A12
chr11:60282886-60310191	MS4A13
chr11:60383224-60454621	LINC00301
chr11:60467047-60483285	MS4A8
chr11:60491482-60511686	MS4A18
chr11:60524340-60544204	MS4A15
chr11:60552821-60568778	MS4A10
chr11:60609429-60618561	CCDC86
chr11:60658020-60674061	PRPF19
chr11:60681371-60690915	TMEM109
chr11:60691913-60704631	TMEM132A
chr11:60704555-60719257	SLC15A3
chr11:60739113-60787848	CD6
chr11:60861435-60895323	CD5
chr11:60869930-60895323	CD5
chr11:60897728-60928916	VPS37C
chr11:60970985-60980341	PGA3
chr11:60989821-60999167	PGA4
chr11:61008648-61018915	PGA5
chr11:61025758-61062788	VWCE
chr11:61066919-61100684	DDB1
chr11:61100654-61116231	TKFC
chr11:61116220-61129755	CYB561A3
chr11:61170120-61197383	CPSF7
chr11:61170120-61197464	CPSF7
chr11:61197597-61214239	SDHAF2
chr11:61248585-61258400	PPP1R32
chr11:61281188-61348344	SYT7
chr11:61355966-61375018	LOC101927495
chr11:61382508-61406921	RPLP0P2
chr11:61447905-61514474	DAGLA
chr11:61520109-61555990	MYRF
chr11:61522861-61555990	MYRF
chr11:61567097-61584529	FADS1
chr11:61583675-61634826	FADS2
chr11:61583876-61634826	FADS2
chr11:61595505-61634826	FADS2
chr11:61640995-61659017	FADS3
chr11:61664768-61685081	RAB3IL1
chr11:61664768-61687741	RAB3IL1
chr11:61717356-61731066	BEST1
chr11:61717356-61731935	BEST1
chr11:61891445-61920635	INCENP
chr11:62104774-62160887	ASRGL1
chr11:62201014-62314332	AHNAK
chr11:62283374-62313159	AHNAK
chr11:62283374-62313238	AHNAK
chr11:62283374-62314332	AHNAK
chr11:62327073-62341460	EEF1G
chr11:62342517-62359109	TUT1
chr11:62369691-62380237	EML3
chr11:62392298-62407690	GANAB
chr11:62392298-62414198	GANAB
chr11:62430289-62439241	LBHD1
chr11:62457734-62473787	BSCL2
chr11:62457734-62475179	BSCL2
chr11:62457734-62477091	BSCL2
chr11:62457734-62494856	HNRNPUL2-BSCL2
chr11:62480097-62494857	HNRNPUL2
chr11:62495545-62506108	TTC9C
chr11:62538775-62554813	TAF6L
chr11:62559598-62572964	NXF1
chr11:62574332-62599563	STX5
chr11:62623484-62656355	SLC3A2
chr11:62676151-62689012	CHRM1
chr11:62760296-62783317	SLC22A8
chr11:62847412-62911693	SLC22A24
chr11:62885995-62911693	SLC22A24
chr11:62931296-62997124	SLC22A25
chr11:63057419-63079246	SLC22A10
chr11:63057430-63079246	SLC22A10
chr11:63137261-63177712	SLC22A9
chr11:63228876-63258680	HRASLS5
chr11:63304273-63313930	RARRES3
chr11:63320242-63330855	HRASLS2
chr11:63341944-63381909	PLA2G16
chr11:63341944-63381941	PLA2G16
chr11:63391554-63439202	ATL3
chr11:63391554-63439446	ATL3
chr11:63448922-63527363	RTN3
chr11:63580846-63595190	C11orf84
chr11:63606400-63678492	MARK2
chr11:63655987-63678492	MARK2
chr11:63706442-63724791	NAA40
chr11:63706803-63724791	NAA40
chr11:63753325-63765892	OTUB1
chr11:63766030-63933585	MACROD1
chr11:63871362-63886645	FLRT1
chr11:63952744-63972020	STIP1
chr11:63953587-63972020	STIP1
chr11:63974152-63991363	FERMT3
chr11:64018995-64036924	PLCB3
chr11:64037300-64052176	BAD
chr11:64059194-64072241	KCNK4-TEX40
chr11:64073000-64084212	ESRRA
chr11:64073699-64084212	ESRRA
chr11:64107690-64125006	CCDC88B
chr11:64126625-64139687	RPS6KA4
chr11:64358282-64369825	SLC22A12
chr11:64373646-64410787	NRXN2
chr11:64373646-64490660	NRXN2
chr11:64494383-64511630	RASGRP2
chr11:64494383-64512329	RASGRP2
chr11:64494383-64512928	RASGRP2
chr11:64513861-64527769	PYGM
chr11:64513861-64528187	PYGM
chr11:64532076-64545233	SF1
chr11:64532076-64545938	SF1
chr11:64532076-64546316	SF1
chr11:64556573-64570726	MAP4K2
chr11:64591662-64612041	CDC42BPG
chr11:64620199-64646240	EHD1
chr11:64620199-64647185	EHD1
chr11:64662004-64684722	ATG2A
chr11:64692143-64701950	PPP2R5B
chr11:64705702-64739563	MAJIN
chr11:64755417-64764517	BATF2
chr11:64781585-64808044	ARL2-SNX15
chr11:64794880-64808044	SNX15
chr11:64812295-64826009	NAALADL1
chr11:64863587-64879332	VPS51
chr11:64948686-64979477	CAPN1
chr11:64949150-64979477	CAPN1
chr11:64949304-64979477	CAPN1
chr11:64981311-64993511	SLC22A20
chr11:64981311-65010228	SLC22A20
chr11:65029323-65066156	POLA2
chr11:65101225-65120451	DPF2
chr11:65101225-65121731	DPF2
chr11:65154041-65180995	FRMD8
chr11:65190269-65213009	NEAT1
chr11:65292548-65306182	SCYL1
chr11:65306030-65325699	LTBP3
chr11:65365226-65381720	MAP3K11
chr11:65383783-65404910	PCNX3
chr11:65405578-65418391	SIPA1
chr11:65407592-65418391	SIPA1
chr11:65421067-65430443	RELA
chr11:65554505-65564690	OVOL1
chr11:65601410-65621172	SNX32
chr11:65713115-65727434	TSGA10IP
chr11:65729160-65747607	SART1
chr11:65784223-65793988	CATSPER1
chr11:65819816-65836382	SF3B2
chr11:65837824-66012218	PACS1
chr11:66024765-66035331	KLC2
chr11:66025091-66035331	KLC2
chr11:66025174-66035332	KLC2
chr11:66036056-66044963	RAB1B
chr11:66115462-66131235	LOC102724064
chr11:66129992-66139291	SLC29A2
chr11:66129992-66139947	SLC29A2
chr11:66233798-66244808	PELI3
chr11:66234336-66244808	PELI3
chr11:66247484-66277130	DPP3
chr11:66278119-66301084	BBS1
chr11:66288553-66313709	ZDHHC24
chr11:66303092-66313709	ZDHHC24
chr11:66313866-66330800	ACTN3
chr11:66314312-66330800	ACTN3
chr11:66360690-66373490	CCS
chr11:66384053-66397397	RBM14
chr11:66384053-66413944	RBM14-RBM4
chr11:66406088-66435858	RBM4
chr11:66432465-66445392	RBM4B
chr11:66452720-66488870	SPTBN2
chr11:66512207-66610987	C11orf80
chr11:66615997-66675340	PC
chr11:66790190-66818334	SYT12
chr11:66790816-66818334	SYT12
chr11:66824289-66839488	RHOD
chr11:66886740-67025550	KDM2A
chr11:67007506-67025550	KDM2A
chr11:67033905-67054029	GRK2
chr11:67056762-67069955	ANKRD13D
chr11:67070919-67080078	SSH3
chr11:67085310-67159158	LOC100130987
chr11:67131639-67141206	CLCF1
chr11:67131639-67141648	CLCF1
chr11:67183149-67193078	CARNS1
chr11:67219886-67229246	CABP4
chr11:67259239-67272843	PITPNM1
chr11:67429633-67442102	ALDH3B2
chr11:67429633-67448685	ALDH3B2
chr11:67559238-67572807	FAM86C2P
chr11:67758571-67771595	UNC93B1
chr11:67776017-67796749	ALDH3B1
chr11:67777775-67796749	ALDH3B1
chr11:67820326-67888858	CHKA
chr11:67922330-67980812	KMT5B
chr11:67922330-67981239	KMT5B
chr11:67933186-67980784	KMT5B
chr11:67933186-67981239	KMT5B
chr11:68028803-68039469	C11orf24
chr11:68474908-68518988	TESMIN
chr11:68503600-68518988	TESMIN
chr11:68522088-68609399	CPT1A
chr11:68522351-68609399	CPT1A
chr11:68658746-68671303	MRPL21
chr11:68671319-68708069	IGHMBP2
chr11:68771862-68780850	MRGPRF
chr11:68816350-68858072	TPCN2
chr11:68914696-68939030	LOC338694
chr11:69455873-69469242	CCND1
chr11:69480332-69490165	ORAOV1
chr11:69624736-69634192	FGF3
chr11:69902336-69911477	LOC101928443
chr11:69924408-70035652	ANO1
chr11:70116806-70224598	PPFIA1
chr11:70244612-70282690	CTTN
chr11:70313961-70507945	SHANK2
chr11:71145457-71159477	DHCR7
chr11:71164217-71212581	NADSYN1
chr11:71498557-71512280	FAM86C1
chr11:71505409-71524905	ALG1L9P
chr11:71506861-71524905	ALG1L9P
chr11:71576555-71639493	LOC100133315
chr11:71639768-71708643	RNF121
chr11:71713910-71791520	NUMA1
chr11:71791377-71807938	LRTOMT
chr11:71791377-71821828	LRTOMT
chr11:71935882-71950188	INPPL1
chr11:72003470-72145728	CLPB
chr11:72287184-72353504	PDE2A
chr11:72287184-72380108	PDE2A
chr11:72287184-72385497	PDE2A
chr11:72396114-72433403	ARAP1
chr11:72396114-72463434	ARAP1
chr11:72465774-72504750	STARD10
chr11:72525451-72540680	ATG16L2
chr11:72547790-72853143	FCHSD2
chr11:72590965-72604767	MIR4459
chr11:72929343-72953472	P2RY2
chr11:72929502-72953472	P2RY2
chr11:72975550-73009670	P2RY6
chr11:72975597-73009670	P2RY6
chr11:72976281-73009670	P2RY6
chr11:72983187-73009670	P2RY6
chr11:73019663-73080425	ARHGEF17
chr11:73087405-73108519	RELT
chr11:73087713-73108519	RELT
chr11:73357223-73373864	PLEKHB1
chr11:73358594-73373864	PLEKHB1
chr11:73359735-73373864	PLEKHB1
chr11:73386683-73472201	RAB6A
chr11:73498917-73575656	MRPL48
chr11:73587744-73638781	PAAF1
chr11:73588014-73638781	PAAF1
chr11:73661364-73681332	DNAJB13
chr11:73711326-73720282	UCP3
chr11:73723759-73882064	C2CD3
chr11:73745477-73882064	C2CD3
chr11:73882108-73965748	PPME1
chr11:73977694-74022721	P4HA3
chr11:74041357-74109510	PGM2L1
chr11:74165886-74178600	KCNE3
chr11:74303575-74354105	POLD3
chr11:74303650-74354105	POLD3
chr11:74407473-74422412	CHRDL2
chr11:74407473-74430348	CHRDL2
chr11:74407473-74442430	CHRDL2
chr11:74459913-74553458	RNF169
chr11:74551955-74660232	XRRA1
chr11:74660292-74690076	SPCS2
chr11:74699950-74718743	NEU3
chr11:74862032-74917445	SLCO2B1
chr11:74870844-74917445	SLCO2B1
chr11:74971166-75062875	ARRB1
chr11:75110535-75133345	RPS3
chr11:75145685-75236599	GDPD5
chr11:75273101-75283849	SERPINH1
chr11:75294241-75305710	LOC105369391
chr11:75313905-75379479	MAP6
chr11:75428864-75444003	MOGAT2
chr11:75469500-75479692	LOC283214
chr11:75897370-75917574	WNT11
chr11:76061001-76092009	THAP12
chr11:76092347-76119175	LOC100506127
chr11:76092347-76125665	LOC100506127
chr11:76156069-76263943	EMSY
chr11:76368568-76381044	LRRC32
chr11:76368568-76381791	LRRC32
chr11:76391210-76432833	GUCY2EP
chr11:76493357-76509198	TSKU
chr11:76494285-76509198	TSKU
chr11:76495192-76509198	TSKU
chr11:76571917-76737841	ACER3
chr11:76777992-76837198	CAPN5
chr11:76839310-76896041	MYO7A
chr11:76839310-76926286	MYO7A
chr11:76839316-76926286	MYO7A
chr11:76927603-76998463	GDPD4
chr11:77033060-77185108	PAK1
chr11:77300680-77321401	AQP11
chr11:77327196-77348851	CLNS1A
chr11:77329585-77348851	CLNS1A
chr11:77377274-77531880	RSF1
chr11:77532160-77583398	AAMDC
chr11:77532160-77611831	AAMDC
chr11:77589766-77705717	INTS4
chr11:77726761-77757237	KCTD14
chr11:77726761-77791265	NDUFC2-KCTD14
chr11:77779393-77791265	NDUFC2
chr11:77811988-77850699	ALG8
chr11:77850839-77885023	KCTD21-AS1
chr11:77882290-77899675	KCTD21
chr11:77899858-77925757	USP35
chr11:77926336-78052926	GAB2
chr11:77926336-78128868	GAB2
chr11:78147007-78285909	NARS2
chr11:78244222-78269611	LOC101928896
chr11:80462244-80473846	LOC101928944
chr11:81590893-82114955	MIR4300HG
chr11:82533983-82611645	PRCP
chr11:82533983-82612782	PRCP
chr11:82612737-82645699	DDIAS
chr11:82684175-82782504	RAB30
chr11:82684175-82782965	RAB30
chr11:82868137-82896835	PCF11
chr11:82904781-82926242	ANKRD42
chr11:82904781-82960013	ANKRD42
chr11:82904781-82967141	ANKRD42
chr11:82970135-82997450	CCDC90B
chr11:83166056-83393468	DLG2
chr11:83166056-84028382	DLG2
chr11:83166056-85338314	DLG2
chr11:85405265-85430223	SYTL2
chr11:85405265-85430393	SYTL2
chr11:85405265-85469112	SYTL2
chr11:85668214-85780139	PICALM
chr11:85668214-85780923	PICALM
chr11:85955426-85989852	EED
chr11:86013253-86056985	HIKESHI
chr11:86013269-86056985	HIKESHI
chr11:86085778-86134151	CCDC81
chr11:86152150-86383240	ME3
chr11:86502101-86522273	PRSS23
chr11:86511282-86522273	PRSS23
chr11:86511282-86648861	PRSS23
chr11:86511282-86663945	PRSS23
chr11:86656717-86666440	FZD4
chr11:86666663-86711989	LOC100506368
chr11:86748886-87039876	TMEM135
chr11:87846415-87908635	RAB38
chr11:88026760-88070955	CTSC
chr11:88053979-88070955	CTSC
chr11:88237744-88257222	GRM5-AS1
chr11:88237744-88781240	GRM5
chr11:88911040-89028927	TYR
chr11:89057522-89223909	NOX4
chr11:89057522-89224733	NOX4
chr11:89057522-89322779	NOX4
chr11:89392465-89431886	FOLH1B
chr11:89530823-89541743	TRIM49
chr11:89575165-89584136	TRIM53AP
chr11:89644579-89653576	TRIM49D2
chr11:89657232-89666229	TRIM49D2
chr11:89726709-89735676	TRIM53AP
chr11:89764274-89775193	TRIM49C
chr11:89867818-89925779	NAALAD2
chr11:89933597-89956532	CHORDC1
chr11:89984400-90648220	DISC1FP1
chr11:92702789-92715948	MTNR1B
chr11:92877337-92930621	SLC36A4
chr11:92877337-92931141	SLC36A4
chr11:93211639-93276546	SMCO4
chr11:93394816-93463522	CEP295
chr11:93463360-93474703	TAF1D
chr11:93474760-93496268	C11orf54
chr11:93553735-93583668	VSTM5
chr11:93754378-93847374	HEPHL1
chr11:93862094-93915137	PANX1
chr11:94110477-94134585	GPR83
chr11:94110477-94134589	GPR83
chr11:94150469-94227040	MRE11
chr11:94150471-94227074	MRE11
chr11:94245695-94265289	C11orf97
chr11:94278498-94473521	LOC105369438
chr11:94279357-94473521	LOC105369438
chr11:94300474-94354587	PIWIL4
chr11:94306938-94473521	LOC105369438
chr11:94501508-94609918	AMOTL1
chr11:94695787-94706776	CWC15
chr11:94706845-94732676	KDM4D
chr11:94822974-94865815	ENDOD1
chr11:94898677-94964246	SESN3
chr11:94898677-94965705	SESN3
chr11:95502106-95522954	FAM76B
chr11:95502106-95522955	FAM76B
chr11:95523625-95565857	CEP57
chr11:95566044-95657371	MTMR2
chr11:95709757-96076344	MAML2
chr11:96085929-96123083	CCDC82
chr11:96176446-96240041	JRKL-AS1
chr11:98891706-100180433	CNTN5
chr11:99426876-100229616	CNTN5
chr11:100558407-100861656	ARHGAP42
chr11:100900355-100999794	PGR
chr11:100900355-101000458	PGR
chr11:100900355-101000544	PGR
chr11:100999808-101030001	PGR-AS1
chr11:101322295-101454659	TRPC6
chr11:101785746-101871796	CEP126
chr11:101918169-101946842	C11orf70
chr11:101918169-101955291	C11orf70
chr11:101983171-102104154	YAP1
chr11:102188181-102210135	BIRC3
chr11:102217913-102249401	BIRC2
chr11:102218105-102249401	BIRC2
chr11:102267056-102323775	TMEM123
chr11:102323650-102332769	LOC101928424
chr11:102391239-102401484	MMP7
chr11:102447566-102496063	MMP20
chr11:102562415-102576468	MMP27
chr11:102582526-102595685	MMP8
chr11:102641233-102651359	MMP10
chr11:102654407-102707497	WTAPP1
chr11:102733460-102745764	MMP12
chr11:102813721-102826463	MMP13
chr11:102921413-102962944	DCUN1D5
chr11:102980160-103350591	DYNC2H1
chr11:103777914-104035027	PDGFD
chr11:104439217-104480030	LOC102723895
chr11:104756445-104769397	CASP12
chr11:104772276-104788902	LOC643733
chr11:104813594-104827422	CASP4
chr11:104864967-104893895	CASP5
chr11:104896237-104905884	CASP1
chr11:104933329-104942257	CASP1P2
chr11:104963196-104972158	CARD17
chr11:105481411-105784231	GRIA4
chr11:105921825-105948465	KBTBD3
chr11:105948292-105969419	AASDHPPT
chr11:105983186-106002843	LOC105369473
chr11:106122134-106135632	LOC101928535
chr11:107373453-107436461	ALKBH8
chr11:107461817-107537505	ELMOD1
chr11:107661717-107729914	SLC35F2
chr11:107799201-107834208	RAB39A
chr11:107879459-107978503	CUL5
chr11:107992258-108018891	ACAT1
chr11:108027942-108093365	NPAT
chr11:108028119-108093365	NPAT
chr11:108093559-108239826	ATM
chr11:108179246-108338258	C11orf65
chr11:108253727-108338258	C11orf65
chr11:108342833-108369159	KDELC2
chr11:108376158-108408934	EXPH5
chr11:108376158-108422932	EXPH5
chr11:108376158-108464374	EXPH5
chr11:108376158-108464465	EXPH5
chr11:108535752-108811657	DDX10
chr11:109964087-110042566	ZC3H12C
chr11:110045605-110167437	RDX
chr11:110100166-110167437	RDX
chr11:110225839-110277632	LOC105369486
chr11:110300661-110335608	FDX1
chr11:110447759-110582773	ARHGAP20
chr11:110447759-110583451	ARHGAP20
chr11:110447759-110583912	ARHGAP20
chr11:111126707-111157129	C11orf53
chr11:111169271-111179460	COLCA2
chr11:111169565-111179460	COLCA2
chr11:111169976-111179460	COLCA2
chr11:111222981-111250157	POU2AF1
chr11:111338256-111383079	BTG4
chr11:111385510-111407756	C11orf88
chr11:111411005-111432470	LAYN
chr11:111411233-111432470	LAYN
chr11:111473115-111597641	SIK2
chr11:111597632-111637169	PPP2R1B
chr11:111608605-111637169	PPP2R1B
chr11:111652919-111742004	ALG9
chr11:111652919-111742305	ALG9
chr11:111783460-111797595	HSPB2-C11orf52
chr11:111797868-111846719	DIXDC1
chr11:111807927-111893374	DIXDC1
chr11:111848033-111893374	DIXDC1
chr11:111895538-111935002	DLAT
chr11:111934734-111944895	PIH1D2
chr11:111944968-111955874	C11orf57
chr11:111957548-111966525	SDHD
chr11:112013974-112034840	IL18
chr11:112046208-112089649	BCO2
chr11:112047089-112089649	BCO2
chr11:112118876-112131583	PLET1
chr11:112141472-112233257	LOC283140
chr11:112352955-112412639	LOC101928823
chr11:112831969-113135919	NCAM1
chr11:113185251-113237114	TTC12
chr11:113258513-113271140	ANKK1
chr11:113280317-113346001	DRD2
chr11:113558268-113577095	TMPRSS5
chr11:113603905-113644485	ZW10
chr11:113668597-113746292	USP28
chr11:113684478-113746292	USP28
chr11:113775518-113817283	HTR3B
chr11:113845797-113861034	HTR3A
chr11:113848222-113861034	HTR3A
chr11:113930431-114121397	ZBTB16
chr11:113931288-114121397	ZBTB16
chr11:114166535-114183238	NNMT
chr11:114231357-114250761	LOC101928940
chr11:114262170-114271272	C11orf71
chr11:114271251-114281332	RBM7
chr11:114310108-114321000	REXO2
chr11:114392437-114430617	NXPE1
chr11:114441313-114466484	NXPE4
chr11:114549200-114577652	NXPE2
chr11:116510139-116528969	LOC101929011
chr11:116618886-116643714	BUD13
chr11:116648905-116658754	ZPR1
chr11:116706833-116726445	APOA1-AS
chr11:116714118-116969131	SIK3
chr11:117015000-117041761	PAFAH1B2
chr11:117015000-117047131	PAFAH1B2
chr11:117015000-117047592	PAFAH1B2
chr11:117015000-117048889	PAFAH1B2
chr11:117049939-117068161	SIDT2
chr11:117075787-117103241	PCSK7
chr11:117103341-117156404	RNF214
chr11:117103452-117156404	RNF214
chr11:117156402-117166386	BACE1
chr11:117156402-117186972	BACE1
chr11:117198571-117283982	CEP164
chr11:117298488-117667976	DSCAML1
chr11:117690790-117747746	FXYD6-FXYD2
chr11:117707691-117747746	FXYD6
chr11:117771356-117800168	TMPRSS13
chr11:117773757-117800168	TMPRSS13
chr11:117778510-117800168	TMPRSS13
chr11:117857106-117872199	IL10RA
chr11:117886487-117957508	TMPRSS4-AS1
chr11:118004092-118016184	SCN4B
chr11:118004092-118023630	SCN4B
chr11:118033519-118047337	SCN2B
chr11:118064442-118084074	JAML
chr11:118064442-118095809	JAML
chr11:118097405-118123083	MPZL3
chr11:118124131-118135251	MPZL2
chr11:118175295-118186890	CD3E
chr11:118215059-118224497	CD3G
chr11:118230296-118269926	UBE4A
chr11:118251935-118289530	LOC100131626
chr11:118307205-118397539	KMT2A
chr11:118382633-118401490	LOC101929089
chr11:118390101-118401490	LOC101929089
chr11:118390101-118401809	LOC101929089
chr11:118401803-118417313	TMEM25
chr11:118415243-118436791	IFT46
chr11:118443102-118473747	ARCN1
chr11:118477213-118528748	PHLDB1
chr11:118478306-118528748	PHLDB1
chr11:118528942-118550381	TREH
chr11:118618473-118661657	DDX6
chr11:118618473-118661972	DDX6
chr11:118754475-118766980	CXCR5
chr11:118766851-118781613	BCL9L
chr11:118842417-118851995	FOXR1
chr11:118868843-118886502	CCDC84
chr11:118914896-118927957	HYOU1
chr11:118938463-118952688	VPS11
chr11:118978060-118987834	C2CD2L
chr11:118992233-119005765	HINFP
chr11:119019750-119033374	ABCG4
chr11:119020299-119033374	ABCG4
chr11:119039043-119054726	NLRX1
chr11:119039422-119054726	NLRX1
chr11:119076986-119178859	CBL
chr11:119225925-119234892	USP2
chr11:119252488-119369944	USP2-AS1
chr11:119508808-119599435	NECTIN1
chr11:119531703-119599435	NECTIN1
chr11:119545099-119599435	NECTIN1
chr11:119600293-119610333	LOC102724301
chr11:119981994-120008863	TRIM29
chr11:120081747-120100650	OAF
chr11:120107349-120190653	POU2F3
chr11:120110903-120190653	POU2F3
chr11:120120468-120136641	LOC649133
chr11:120207618-120360645	ARHGEF12
chr11:120256003-120360645	ARHGEF12
chr11:120382455-120859513	GRIK4
chr11:120435145-120833687	GRIK4
chr11:120435145-120859513	GRIK4
chr11:120738642-120765506	LOC101929227
chr11:120811264-120828748	LOC101929208
chr11:120894803-120960354	TBCEL
chr11:120894813-120960354	TBCEL
chr11:120973375-121061515	TECTA
chr11:121163388-121184119	SC5D
chr11:121163577-121184119	SC5D
chr11:121322912-121504471	SORL1
chr11:121959811-121971554	MIR100HG
chr11:121959811-121972937	MIR100HG
chr11:121959811-121976324	MIR100HG
chr11:121959811-122027079	MIR100HG
chr11:121959811-122027821	MIR100HG
chr11:121959811-122180195	MIR100HG
chr11:121959811-122238696	MIR100HG
chr11:121959811-122293579	MIR100HG
chr11:122526398-122685187	UBASH3B
chr11:122709206-122743347	CRTAM
chr11:122733019-122743347	CRTAM
chr11:122753236-122776595	C11orf63
chr11:122942714-123066013	CLMP
chr11:123380587-123498479	GRAMD1B
chr11:123396344-123498479	GRAMD1B
chr11:123430970-123498479	GRAMD1B
chr11:123499895-123525315	SCN3B
chr11:123594635-123612391	ZNF202
chr11:123986111-123995543	VWA5A
chr11:123986111-124017618	VWA5A
chr11:124120423-124135756	OR8G1
chr11:124492742-124505822	TBRG1
chr11:124505685-124543777	SIAE
chr11:124505685-124546199	SIAE
chr11:124543740-124564687	SPA17
chr11:124623019-124632223	ESAM
chr11:124636394-124646138	MSANTD2
chr11:124636394-124670300	MSANTD2
chr11:124670324-124704383	LOC100507283
chr11:124735305-124751370	ROBO3
chr11:124754114-124767831	ROBO4
chr11:124789146-124806308	HEPACAM
chr11:124824017-124911385	CCDC15
chr11:124933013-124960412	SLC37A2
chr11:124964266-124981604	TMEM218
chr11:124964266-124981659	TMEM218
chr11:125034559-125303285	PKNOX2
chr11:125315641-125366206	FEZ1
chr11:125439283-125454584	EI24
chr11:125440186-125462463	STT3A-AS1
chr11:125462690-125492654	STT3A
chr11:125495031-125527042	CHEK1
chr11:125495319-125546151	CHEK1
chr11:125496119-125527049	CHEK1
chr11:125496124-125527042	CHEK1
chr11:125496251-125527042	CHEK1
chr11:125753509-125770541	HYLS1
chr11:125756955-125770541	HYLS1
chr11:125763380-125773116	PUS3
chr11:125773271-125793298	DDX25
chr11:125774261-125793006	DDX25
chr11:125826713-125933187	CDON
chr11:126071989-126081587	RPUSD4
chr11:126081619-126132879	FAM118B
chr11:126081619-126132882	FAM118B
chr11:126139040-126148027	FOXRED1
chr11:126152982-126163071	TIRAP
chr11:126152982-126164828	TIRAP
chr11:126211612-126225482	GSEC
chr11:126225789-126284536	ST3GAL4
chr11:126273311-126284536	ST3GAL4
chr11:126293396-126870766	KIRREL3
chr11:126522673-126551998	LOC101929427
chr11:126525981-126551999	LOC101929427
chr11:126936897-126971201	LOC101929473
chr11:127140965-127206928	LOC101929497
chr11:128078661-128111336	LINC02098
chr11:128328656-128392296	ETS1
chr11:128328656-128457453	ETS1
chr11:128556430-128683162	FLI1
chr11:128563811-128683162	FLI1
chr11:128707909-128737268	KCNJ1
chr11:128761313-128787951	KCNJ5
chr11:128834955-128894088	ARHGAP32
chr11:128834955-129062093	ARHGAP32
chr11:129245881-129322174	BARX2
chr11:129685676-129729406	TMEM45B
chr11:129733670-129765490	NFRKB
chr11:129769601-129817517	PRDM10
chr11:129769601-129872730	PRDM10
chr11:129939716-130014706	APLP2
chr11:129940463-130014706	APLP2
chr11:130029682-130080257	ST14
chr11:130096574-130184607	ZBTB44
chr11:130274818-130298888	ADAMTS8
chr11:130318869-130346540	ADAMTS15
chr11:130714088-130732005	LOC100507431
chr11:130745766-130786382	SNX19
chr11:130771558-130786382	SNX19
chr11:130775552-130786382	SNX19
chr11:131240371-132206716	NTM
chr11:131780712-132206716	NTM
chr11:132284559-132813532	OPCML
chr11:133653566-133680271	LOC646522
chr11:133778520-133826649	IGSF9B
chr11:133902167-133911236	LOC100128239
chr11:133938820-134021652	JAM3
chr11:134094499-134117686	VPS26B
chr11:134123434-134135746	ACAD8
chr11:134201768-134246218	GLB1L2
chr11:134306376-134375555	LOC283177
chr12:73725-91263	LOC100288778
chr12:186542-280494	IQSEC3
chr12:246577-258332	LOC574538
chr12:299243-322613	SLC6A12
chr12:299243-322863	SLC6A12
chr12:299243-323371	SLC6A12
chr12:329787-372039	SLC6A13
chr12:498516-551806	CCDC77
chr12:510741-551806	CCDC77
chr12:569543-671058	B4GALNT3
chr12:673462-719579	NINJ2
chr12:673462-752851	NINJ2
chr12:673462-772907	NINJ2
chr12:740057-755044	LOC100049716
chr12:1020902-1058888	RAD52
chr12:1020902-1099207	RAD52
chr12:1025372-1058888	RAD52
chr12:1100374-1605099	ERC1
chr12:1136914-1605099	ERC1
chr12:1675159-1703331	FBXL14
chr12:1726222-1756377	WNT5B
chr12:1738412-1756378	WNT5B
chr12:1800247-1897845	ADIPOR2
chr12:1901123-2027870	CACNA2D4
chr12:2050757-2113701	DCP1B
chr12:2055214-2113701	DCP1B
chr12:2100622-2113701	DCP1B
chr12:2785167-2800323	CACNA1C-AS1
chr12:2851792-2922090	ITFG2-AS1
chr12:2904108-2914587	FKBP4
chr12:2921787-2934237	ITFG2
chr12:2921788-2939770	ITFG2
chr12:2934514-2944221	NRIP2
chr12:2945982-2968961	LOC100507424
chr12:2985424-2998691	RHNO1
chr12:2986365-2998691	RHNO1
chr12:3068478-3149842	TEAD4
chr12:3068748-3149842	TEAD4
chr12:3490515-3703138	PRMT8
chr12:3592878-3601985	THCAT155
chr12:3600364-3703138	PRMT8
chr12:3724494-3862366	CRACR2A
chr12:3757109-3862366	CRACR2A
chr12:3918027-3982614	PARP11
chr12:4357933-4385350	CCND2-AS1
chr12:4382902-4414522	CCND2
chr12:4430359-4469190	TIGAR
chr12:4477393-4488894	FGF23
chr12:4543308-4554780	FGF6
chr12:4596896-4647674	C12orf4
chr12:4647950-4669213	RAD51AP1
chr12:4699238-4723054	DYRK4
chr12:4714029-4723054	DYRK4
chr12:4724674-4758213	AKAP3
chr12:4758264-4796720	NDUFA9
chr12:4809583-4829268	LOC101929549
chr12:4829752-4881892	GALNT8
chr12:4918342-4960278	KCNA6
chr12:5343162-5352317	LINC02443
chr12:5541280-5604465	NTF3
chr12:5671817-6054425	ANO2
chr12:5671817-6055398	ANO2
chr12:6058040-6233841	VWF
chr12:6308873-6347437	CD9
chr12:6309482-6347437	CD9
chr12:6419602-6437672	PLEKHG6
chr12:6420099-6437672	PLEKHG6
chr12:6421817-6437672	PLEKHG6
chr12:6437923-6451283	TNFRSF1A
chr12:6456009-6484390	SCNN1A
chr12:6456009-6484905	SCNN1A
chr12:6456009-6486523	SCNN1A
chr12:6484534-6500737	LTBR
