Gene	Gene_Symbol	Predict	Prob_0	Prob_1
chr8:27950584-28048669	ELP3	0.0	0.562	0.438
chr15:30653443-30685864	CHRFAM7A	0.0	0.562	0.438
chr6:123070346-123105222	FABP7	0.0	0.562	0.438
chr5:72427835-72446419	LOC105379030	0.0	0.562	0.438
chr15:101459420-101613094	LRRK1	0.0	0.562	0.438
chr14:83108976-83173169	LINC02301	0.0	0.562	0.438
chr3:186358149-186370797	FETUB	0.0	0.562	0.438
chr2:172639915-172750816	SLC25A12	0.0	0.562	0.438
chr5:79362172-79379488	CTD-2201I18.1	0.0	0.562	0.438
chr2:87237588-87248969	PLGLB1	0.0	0.562	0.438
chr2:160956177-161056824	ITGB6	0.0	0.562	0.438
chr8:125954250-125963337	LINC00964	0.0	0.562	0.438
chr3:186933873-187009810	MASP1	0.0	0.562	0.438
chr10:38117693-38147012	ZNF248	0.0	0.562	0.438
chr10:38117693-38146564	ZNF248	0.0	0.562	0.438
chr8:86354037-86375283	CA3-AS1	0.0	0.562	0.438
chr8:128712853-128746213	CASC11	0.0	0.562	0.438
chr4:77172853-77232283	FAM47E-STBD1	0.0	0.562	0.438
chr18:21594384-21715574	TTC39C	0.0	0.562	0.438
chr5:36606457-36688436	SLC1A3	0.0	0.562	0.438
chr4:13570366-13629328	BOD1L1	0.0	0.562	0.438
chr16:14014014-14046205	ERCC4	0.0	0.562	0.438
chr8:86354037-86377144	CA3-AS1	0.0	0.562	0.438
chr8:86354037-86376562	CA3-AS1	0.0	0.562	0.438
chr1:40204517-40222441	PPIE	0.0	0.562	0.438
chr3:195415369-195438746	LINC00969	0.0	0.562	0.438
chr3:138067970-138124377	MRAS	0.0	0.562	0.438
chr4:144257983-144395718	GAB1	0.0	0.562	0.438
chr11:102323650-102332769	LOC101928424	0.0	0.562	0.438
chr5:42423877-42721980	GHR	0.0	0.562	0.438
chr9:32384601-32450832	ACO1	0.0	0.562	0.438
chr4:16503157-16900432	LDB2	0.0	0.562	0.438
chr4:77172853-77204936	FAM47E	0.0	0.562	0.438
chr2:197059094-197458416	HECW2	0.0	0.562	0.438
chr3:194018989-194030593	LINC00887	0.0	0.562	0.438
chr1:201452658-201465701	CSRP1	0.0	0.564	0.436
chr19:51385352-51399654	KLKP1	0.0	0.564	0.436
chr10:106113522-106214848	CFAP58	0.0	0.564	0.436
chr1:47489240-47516423	CYP4X1	0.0	0.564	0.436
chr10:105353784-105615164	SH3PXD2A	0.0	0.564	0.436
chr1:152078793-152087930	TCHH	0.0	0.564	0.436
chr17:29361766-29386127	LOC646030	0.0	0.564	0.436
chr13:76445174-76457948	LMO7DN	0.0	0.564	0.436
chr8:41348173-41368499	GOLGA7	0.0	0.564	0.436
chr11:124964266-124981659	TMEM218	0.0	0.564	0.436
chr3:186560463-186576252	ADIPOQ	0.0	0.564	0.436
chr11:124964266-124981604	TMEM218	0.0	0.564	0.436
chr10:61010929-61122352	FAM13C	0.0	0.564	0.436
chr15:83924655-83952209	BNC1	0.0	0.564	0.436
chr3:38307298-38319806	SLC22A13	0.0	0.564	0.436
chr10:6368507-6377943	LOC399715	0.0	0.564	0.436
chr15:67835021-68099455	MAP2K5	0.0	0.564	0.436
chrX:45021555-45060146	CXorf36	0.0	0.564	0.436
chr6:71998145-72018762	OGFRL1	0.0	0.564	0.436
chr7:37960163-37991542	EPDR1	0.0	0.564	0.436
chr2:167979319-167997465	XIRP2-AS1	0.0	0.564	0.436
chr6_qbl_hap6:4025293-4038655	TAP2	0.0	0.564	0.436
chr5:34839269-34899564	TTC23L	0.0	0.564	0.436
chr3:45123766-45187914	CDCP1	0.0	0.564	0.436
chr1:19166093-19186155	TAS1R2	0.0	0.564	0.436
chrX:67262186-67653299	OPHN1	0.0	0.564	0.436
chr8:42552562-42592550	CHRNB3	0.0	0.564	0.436
chr22:23950639-23974508	DRICH1	0.0	0.564	0.436
chr8:28203102-28243977	ZNF395	0.0	0.564	0.436
chr7:144052489-144077725	ARHGEF5	0.0	0.564	0.436
chr14:105475910-105487425	CDCA4	0.0	0.564	0.436
chr13:95413195-95587664	LOC101927284	0.0	0.564	0.436
chr3:98452300-98514689	ST3GAL6	0.0	0.564	0.436
chr12:40787196-40964557	MUC19	0.0	0.564	0.436
chr20:68313-77214	DEFB125	0.0	0.564	0.436
chr7:136912092-136953602	PTN	0.0	0.564	0.436
chrX:99929489-99986522	SYTL4	0.0	0.564	0.436
chr14:94843084-94855153	SERPINA1	0.0	0.564	0.436
chr11:124505685-124543777	SIAE	0.0	0.564	0.436
chrX:52780281-52790617	SSX2B	0.0	0.564	0.436
chr14:96831073-96853627	GSKIP	0.0	0.564	0.436
chr17:71244588-71258019	CPSF4L	0.0	0.564	0.436
chr7:135611503-135662204	LUZP6	0.0	0.564	0.436
chr14:89622516-89883454	FOXN3	0.0	0.564	0.436
chr1:201452658-201475967	CSRP1	0.0	0.564	0.436
chr12:52626954-52642709	KRT7	0.0	0.564	0.436
chr1:116915795-116947396	ATP1A1	0.0	0.564	0.436
chr7:135611503-135662204	LUZP6	0.0	0.564	0.436
chrX:52780280-52790617	SSX2	0.0	0.564	0.436
chr4:77870867-77959768	SEPT11	0.0	0.564	0.436
chr1:204167288-204183220	GOLT1A	0.0	0.564	0.436
chrX:119170201-119280761	RHOXF1-AS1	0.0	0.564	0.436
chr13:85937738-86118797	LINC00351	0.0	0.564	0.436
chr11:94245695-94265289	C11orf97	0.0	0.564	0.436
chr11:12183626-12285337	MICAL2	0.0	0.564	0.436
chr1:203185207-203198860	CHIT1	0.0	0.564	0.436
chr2:128293378-128395303	MYO7B	0.0	0.564	0.436
chr6:6144311-6320924	F13A1	0.0	0.564	0.436
chr10:61010929-61122661	FAM13C	0.0	0.564	0.436
chr11:102654407-102707497	WTAPP1	0.0	0.564	0.436
chr3:190231840-190369308	IL1RAP	0.0	0.564	0.436
chr5:150655926-150683334	SLC36A3	0.0	0.564	0.436
chr3:190231840-190348073	IL1RAP	0.0	0.564	0.436
chr7:8473585-8792593	NXPH1	0.0	0.564	0.436
chr14:94843084-94857029	SERPINA1	0.0	0.564	0.436
chr7:132169521-132333447	PLXNA4	0.0	0.564	0.436
chr20:33543638-33590240	MYH7B	0.0	0.564	0.436
chr6:167584081-167596396	TCP10L2	0.0	0.564	0.436
chr1:182419256-182529732	RGSL1	0.0	0.564	0.436
chr10:5556207-5568209	CALML3-AS1	0.0	0.564	0.436
chr11:124505685-124546199	SIAE	0.0	0.564	0.436
chr2:62442656-62451866	B3GNT2	0.0	0.564	0.436
chr16:58191812-58231782	CSNK2A2	0.0	0.564	0.436
chr4:185308876-185395726	IRF2	0.0	0.564	0.436
chr15:69884539-69988089	PCAT29	0.0	0.564	0.436
chr4:187187118-187210835	F11	0.0	0.564	0.436
chr3:55499743-55515426	WNT5A	0.0	0.564	0.436
chr3:55499743-55521670	WNT5A	0.0	0.564	0.436
chr1:116465194-116519897	LOC101928977	0.0	0.564	0.436
chr18:55862622-56068772	NEDD4L	0.0	0.564	0.436
chr15:83924655-83953468	BNC1	0.0	0.564	0.436
chr6:125995499-126041364	LOC643623	0.0	0.564	0.436
chr7:130131170-130146138	MEST	0.0	0.564	0.436
chr3:190231840-190374986	IL1RAP	0.0	0.564	0.436
chr14:36942494-36988726	SFTA3	0.0	0.564	0.436
chr4:171961753-171980311	LINC02431	0.0	0.564	0.436
chr10:124516210-124557161	DMBT1P1	0.0	0.564	0.436
chr2:208686012-208890284	PLEKHM3	0.0	0.564	0.436
chr1:117544372-117579173	CD101	0.0	0.564	0.436
chr4:123844225-123949651	SPATA5	0.0	0.564	0.436
chr18:61144144-61172318	SERPINB5	0.0	0.564	0.436
chr16:11022748-11036257	DEXI	0.0	0.564	0.436
chr11:75469500-75479692	LOC283214	0.0	0.564	0.436
chr5:136953189-137042116	KLHL3	0.0	0.564	0.436
chr1:54317392-54355487	YIPF1	0.0	0.564	0.436
chr5:136953189-137056999	KLHL3	0.0	0.564	0.436
chr5:136953189-137071779	KLHL3	0.0	0.564	0.436
chr12:2055214-2113701	DCP1B	0.0	0.564	0.436
chr3:125546080-125604920	LOC101927056	0.0	0.564	0.436
chr16:21995186-22012431	PDZD9	0.0	0.564	0.436
chr17:68165676-68176183	KCNJ2	0.0	0.564	0.436
chr4:152198325-152212605	PRSS48	0.0	0.564	0.436
chr12:57422301-57443901	MYO1A	0.0	0.564	0.436
chr5:137673704-137685418	FAM53C	0.0	0.564	0.436
chr15:48623621-48635570	DUT	0.0	0.564	0.436
chr14:66953089-66965271	LINC00238	0.0	0.564	0.436
chr5:140345747-140391929	PCDHAC2	0.0	0.564	0.436
chr8:124693034-124749666	ANXA13	0.0	0.564	0.436
chr20:57045298-57089994	APCDD1L	0.0	0.564	0.436
chr2:225243415-225266711	FAM124B	0.0	0.564	0.436
chrX:152599613-152618384	ZNF275	0.0	0.564	0.436
chr12:104324112-104341708	HSP90B1	0.0	0.564	0.436
chr6_qbl_hap6:4025293-4038708	TAP2	0.0	0.564	0.436
chr3:141105288-141168632	ZBTB38	0.0	0.564	0.436
chr4:123844225-124240604	SPATA5	0.0	0.564	0.436
chr1:146490895-146514599	LOC728989	0.0	0.564	0.436
chr7:24836156-25019831	OSBPL3	0.0	0.564	0.436
chr14:51771029-51795103	LINC00519	0.0	0.564	0.436
chr2:97779233-97930257	ANKRD36	0.0	0.564	0.436
chr7:136912092-137028736	PTN	0.0	0.564	0.436
chr4:41614726-41702061	LIMCH1	0.0	0.564	0.436
chr14:36942494-36982990	SFTA3	0.0	0.564	0.436
chr17:9705703-9725388	GSG1L2	0.0	0.564	0.436
chr8:19261672-19460056	CSGALNACT1	0.0	0.564	0.436
chr5:118668870-118730299	TNFAIP8	0.0	0.564	0.436
chr14:34393421-34420284	EGLN3	0.0	0.564	0.436
chr14:34393421-34420032	EGLN3	0.0	0.564	0.436
chr8:19261672-19540094	CSGALNACT1	0.0	0.564	0.436
chr2:202122754-202152434	CASP8	0.0	0.564	0.436
chr8:19261672-19540261	CSGALNACT1	0.0	0.564	0.436
chr7:24836156-24932240	OSBPL3	0.0	0.564	0.436
chr4:144792019-144826716	GYPE	0.0	0.564	0.436
chr8:66927213-67013478	DNAJC5B	0.0	0.564	0.436
chr11:118307205-118397539	KMT2A	0.0	0.564	0.436
chr7:112063199-112117258	IFRD1	0.0	0.564	0.436
chrX:107334897-107397901	ATG4A	0.0	0.564	0.436
chr19:56219798-56249768	NLRP9	0.0	0.564	0.436
chr5:131528304-131562935	P4HA2	0.0	0.564	0.436
chr5:131528304-131563556	P4HA2	0.0	0.564	0.436
chr1:54317392-54355504	YIPF1	0.0	0.564	0.436
chr12:98123826-98150295	LOC643711	0.0	0.564	0.436
chr2:98962618-99015064	CNGA3	0.0	0.564	0.436
chr2:179387554-179470132	TTN-AS1	0.0	0.564	0.436
chr11:30431618-30602040	MPPED2	0.0	0.564	0.436
chr5:89454156-89585888	LINC01339	0.0	0.564	0.436
chr7:141408153-141431071	WEE2	0.0	0.564	0.436
chr11:33563877-33695646	KIAA1549L	0.0	0.564	0.436
chr7:79083276-79096783	MAGI2-AS3	0.0	0.564	0.436
chr9:115804095-115819071	ZFP37	0.0	0.564	0.436
chr6:39156747-39197251	KCNK5	0.0	0.564	0.436
chr11:33724556-33744273	CD59	0.0	0.564	0.436
chrX:133941223-133988641	FAM122C	0.0	0.564	0.436
chr19:58258164-58269528	ZNF776	0.0	0.564	0.436
chr7:79083276-79100524	MAGI2-AS3	0.0	0.564	0.436
chr1:20396701-20418394	PLA2G5	0.0	0.564	0.436
chrX:133941223-133957015	FAM122C	0.0	0.564	0.436
chr11:33724556-33744498	CD59	0.0	0.564	0.436
chr17:33762115-33775856	SLFN13	0.0	0.564	0.436
chr21:39698281-39717998	LINC01423	0.0	0.564	0.436
chr3:173116238-174001139	NLGN1	0.0	0.564	0.436
chr2:231772043-231789941	GPR55	0.0	0.564	0.436
chr11:33724556-33758025	CD59	0.0	0.564	0.436
chr8:7783859-7809935	ZNF705B	0.0	0.564	0.436
chr20:44994684-45035690	ELMO2	0.0	0.564	0.436
chr21:42733950-42780869	MX2	0.0	0.564	0.436
chrX:100474933-100519485	DRP2	0.0	0.564	0.436
chr2:46656329-46668972	LOC101805491	0.0	0.564	0.436
chr3:182216078-182224912	LINC01995	0.0	0.564	0.436
chr1:143717588-143744519	LINC01138	0.0	0.564	0.436
chr1:55464617-55474465	BSND	0.0	0.564	0.436
chr6:53512699-53530506	KLHL31	0.0	0.564	0.436
chr4:170838912-170897053	LINC02275	0.0	0.564	0.436
chr7:35794574-35840235	SEPT7-AS1	0.0	0.564	0.436
chr3:156977532-157217445	VEPH1	0.0	0.564	0.436
chr13:113831853-113862962	PCID2	0.0	0.564	0.436
chr5:88185125-88763398	MEF2C-AS1	0.0	0.564	0.436
chr5:88185125-88263096	MEF2C-AS1	0.0	0.564	0.436
chr2:101086944-101099742	NMS	0.0	0.564	0.436
chr12:112451152-112461024	ERP29	0.0	0.564	0.436
chr6:52696541-52710893	GSTA5	0.0	0.564	0.436
chr2:70902216-70995375	ADD2	0.0	0.564	0.436
chr4:108852717-108874613	CYP2U1	0.0	0.564	0.436
chr8:85097100-85834078	RALYL	0.0	0.564	0.436
chr12:57422301-57444549	MYO1A	0.0	0.564	0.436
chrX:11776701-11793872	MSL3	0.0	0.564	0.436
chr10:101370275-101380221	SLC25A28	0.0	0.564	0.436
chr1:205831207-205865215	LOC284581	0.0	0.564	0.436
chr6:147480061-147502128	LUADT1	0.0	0.564	0.436
chr11:118766851-118781613	BCL9L	0.0	0.564	0.436
chr1:92940318-92949356	GFI1	0.0	0.564	0.436
chr19:58258164-58269527	ZNF776	0.0	0.564	0.436
chr18:33048291-33077613	INO80C	0.0	0.564	0.436
chr18:33048291-33077955	INO80C	0.0	0.564	0.436
chr1:92940318-92952433	GFI1	0.0	0.564	0.436
chr3:156977532-157221136	VEPH1	0.0	0.564	0.436
chr10:36067230-36089848	PCAT5	0.0	0.564	0.436
chr11:111411233-111432470	LAYN	0.0	0.566	0.434
chr5:6310554-6337405	LINC02145	0.0	0.566	0.434
chr11:108376158-108464374	EXPH5	0.0	0.566	0.434
chr11:108376158-108464465	EXPH5	0.0	0.566	0.434
chr11:108376158-108408934	EXPH5	0.0	0.566	0.434
chr6:97537843-97862283	MIR548H3	0.0	0.566	0.434
chr3:11196214-11304939	HRH1	0.0	0.566	0.434
chr4:186506598-186733410	SORBS2	0.0	0.566	0.434
chr4:186506598-186877870	SORBS2	0.0	0.566	0.434
chr13:44716464-44728211	SMIM2-AS1	0.0	0.566	0.434
chr11:108376158-108422932	EXPH5	0.0	0.566	0.434
chr3:14860469-14976072	FGD5	0.0	0.566	0.434
chr4:88742550-88767968	MEPE	0.0	0.566	0.434
chr4:186506598-186732258	SORBS2	0.0	0.566	0.434
chr7:120427374-120498177	TSPAN12	0.0	0.566	0.434
chr20:45186462-45280100	SLC13A3	0.0	0.566	0.434
chr13:32974860-33002315	N4BP2L1	0.0	0.566	0.434
chr20:45186462-45313124	SLC13A3	0.0	0.566	0.434
chr15:39873280-39891121	THBS1	0.0	0.566	0.434
chr4:106473777-106552837	ARHGEF38	0.0	0.566	0.434
chr4:106473777-106602070	ARHGEF38	0.0	0.566	0.434
chr6:112557797-112627885	LOC101927640	0.0	0.566	0.434
chr1:55315300-55352921	DHCR24	0.0	0.566	0.434
chr6_cox_hap2:4237716-4251075	TAP2	0.0	0.566	0.434
chr15:42264961-42291292	PLA2G4E-AS1	0.0	0.566	0.434
chr6_cox_hap2:4237716-4251128	TAP2	0.0	0.566	0.434
chr6:25279656-25620758	CARMIL1	0.0	0.566	0.434
chr12:31226779-31257725	DDX11	0.0	0.566	0.434
chr6:111804675-111923497	TRAF3IP2-AS1	0.0	0.566	0.434
chr7:99806559-99869855	GATS	0.0	0.566	0.434
chr16:57438679-57449974	CCL17	0.0	0.566	0.434
chr6:111804675-111899383	TRAF3IP2-AS1	0.0	0.566	0.434
chr7:99905325-99919819	SPDYE3	0.0	0.566	0.434
chr6:28089573-28105094	ZSCAN16-AS1	0.0	0.566	0.434
chr21:30517880-30548210	MAP3K7CL	0.0	0.566	0.434
chr11:59939482-59950804	MS4A6A	0.0	0.566	0.434
chr8:92261516-92410382	SLC26A7	0.0	0.566	0.434
chr8:92261516-92406946	SLC26A7	0.0	0.566	0.434
chr6:111804675-111824811	TRAF3IP2-AS1	0.0	0.566	0.434
chr7:107702842-107770801	LAMB4	0.0	0.566	0.434
chr6_mann_hap4:4250382-4263797	TAP2	0.0	0.566	0.434
chr4:141264615-141303710	SCOC	0.0	0.566	0.434
chr4:141481050-141489959	UCP1	0.0	0.566	0.434
chr6_mann_hap4:4250382-4263744	TAP2	0.0	0.566	0.434
chr4:141786725-142054616	RNF150	0.0	0.566	0.434
chr17:67074847-67138015	ABCA6	0.0	0.566	0.434
chr2:103583867-103600887	LINC01935	0.0	0.566	0.434
chrX:131760038-132095423	HS6ST2	0.0	0.566	0.434
chr4:101111190-101136662	LOC101929353	0.0	0.566	0.434
chr11:36505317-36531863	TRAF6	0.0	0.566	0.434
chr19:51645558-51656783	SIGLEC7	0.0	0.566	0.434
chr4:186506598-186732048	SORBS2	0.0	0.566	0.434
chr4:186506598-186697066	SORBS2	0.0	0.566	0.434
chr4:186506598-186578123	SORBS2	0.0	0.566	0.434
chr19:50452250-50464429	SIGLEC11	0.0	0.566	0.434
chr1:47023079-47069966	MKNK1	0.0	0.566	0.434
chr3:4938493-5021646	BHLHE40-AS1	0.0	0.566	0.434
chr3:4938493-4948186	BHLHE40-AS1	0.0	0.566	0.434
chr19:48711343-48744320	CARD8	0.0	0.566	0.434
chr15:68810712-69020144	CORO2B	0.0	0.566	0.434
chrX:118533258-118588437	SLC25A43	0.0	0.566	0.434
chr1:47023079-47069973	MKNK1	0.0	0.566	0.434
chr10:90043859-90343082	RNLS	0.0	0.566	0.434
chr18:39060236-39100561	KC6	0.0	0.566	0.434
chr12:10183276-10218629	CLEC9A	0.0	0.566	0.434
chr6:13275081-13328815	TBC1D7-LOC100130357	0.0	0.566	0.434
chr1:235294498-235324931	RBM34	0.0	0.566	0.434
chrX:129305773-129318844	RAB33A	0.0	0.566	0.434
chr1:150768684-150780917	CTSK	0.0	0.566	0.434
chr19:42082531-42093197	CEACAM21	0.0	0.566	0.434
chr20:43104526-43123244	TTPAL	0.0	0.566	0.434
chr1:47603097-47613153	CYP4A22	0.0	0.566	0.434
chr12:50017403-50038452	PRPF40B	0.0	0.566	0.434
chr18:36786888-37331959	MIR924HG	0.0	0.566	0.434
chr1:47603097-47614526	CYP4A22	0.0	0.566	0.434
chr6:116850176-116882286	FAM26D	0.0	0.566	0.434
chr2:85545141-85555419	TGOLN2	0.0	0.566	0.434
chr6_cox_hap2:3831537-3845314	BTNL2	0.0	0.566	0.434
chr6:97372496-97588630	KLHL32	0.0	0.566	0.434
chrX:65815482-65858936	EDA2R	0.0	0.566	0.434
chr10:45950033-46090354	MARCH8	0.0	0.566	0.434
chr9:102861467-103064457	INVS	0.0	0.566	0.434
chr11:6232564-6255941	FAM160A2	0.0	0.566	0.434
chr14:77801364-77840252	TMED8	0.0	0.566	0.434
chr6:144164410-144184949	LTV1	0.0	0.566	0.434
chr2:44589043-44999731	CAMKMT	0.0	0.566	0.434
chr2:44039611-44065958	ABCG5	0.0	0.566	0.434
chr12:53001354-53012343	KRT73	0.0	0.566	0.434
chr13:100393124-100609419	LOC101927437	0.0	0.566	0.434
chr1:177320722-177335594	LINC01645	0.0	0.566	0.434
chr3:169661772-169684522	LOC100128164	0.0	0.566	0.434
chr10:17179335-17244070	TRDMT1	0.0	0.566	0.434
chr9:99516831-99540348	ZNF510	0.0	0.566	0.434
chr3:112721292-112738555	NEPRO	0.0	0.566	0.434
chr3:112721292-112738580	NEPRO	0.0	0.566	0.434
chr12:106976685-107156582	RFX4	0.0	0.566	0.434
chr1:176432307-176811970	PAPPA2	0.0	0.566	0.434
chr2:46524541-46613842	EPAS1	0.0	0.566	0.434
chr5:147861115-148016624	HTR4	0.0	0.566	0.434
chrX:39226539-39251028	LINC01282	0.0	0.566	0.434
chr17:28643366-28661077	TMIGD1	0.0	0.566	0.434
chr12:103203061-103218177	LINC00485	0.0	0.566	0.434
chr2:7202858-7218011	LOC101929452	0.0	0.566	0.434
chr5:53616774-53710955	LINC01033	0.0	0.566	0.434
chr1:17345225-17380665	SDHB	0.0	0.566	0.434
chr8:182137-197340	ZNF596	0.0	0.566	0.434
chr3:185677758-185698665	NMRAL2P	0.0	0.566	0.434
chr3:87841987-88042981	HTR1F	0.0	0.566	0.434
chr5:147861115-148034090	HTR4	0.0	0.566	0.434
chr6:72596406-73112845	RIMS1	0.0	0.566	0.434
chr6:72596406-72811473	RIMS1	0.0	0.566	0.434
chr1:77333093-77533223	ST6GALNAC5	0.0	0.566	0.434
chr10:45950033-46030842	MARCH8	0.0	0.566	0.434
chrX:40486173-40506935	CXorf38	0.0	0.566	0.434
chrX:40486173-40506819	CXorf38	0.0	0.566	0.434
chr14:72398817-73033238	RGS6	0.0	0.566	0.434
chr9:107543284-107690527	ABCA1	0.0	0.566	0.434
chr5:52285156-52390609	ITGA2	0.0	0.566	0.434
chrX:15262109-15288589	ASB9	0.0	0.566	0.434
chr5:113783115-114109110	LOC101927078	0.0	0.566	0.434
chr6:151004739-151164801	PLEKHG1	0.0	0.566	0.434
chr5:115298151-115363299	LVRN	0.0	0.566	0.434
chrUn_gl000220:105424-118780	LOC100861532	0.0	0.566	0.434
chr6:152128454-152424408	ESR1	0.0	0.566	0.434
chr1:173152870-173176452	TNFSF4	0.0	0.566	0.434
chr5:115783194-115807369	SEMA6A-AS1	0.0	0.566	0.434
chr1:173152870-173174697	TNFSF4	0.0	0.566	0.434
chr3:133155464-133209990	BFSP2-AS1	0.0	0.566	0.434
chr16:20420856-20452654	ACSM5	0.0	0.566	0.434
chr16:20420856-20452281	ACSM5	0.0	0.566	0.434
chr10:131934673-131977932	GLRX3	0.0	0.566	0.434
chr10:127729911-128077127	ADAM12	0.0	0.566	0.434
chr16:20420856-20431097	ACSM5	0.0	0.566	0.434
chr8:18027971-18081198	NAT1	0.0	0.566	0.434
chrUn_gl000220:105424-118780	LOC100861532	0.0	0.566	0.434
chrUn_gl000220:105424-118780	LOC100861532	0.0	0.566	0.434
chrUn_gl000220:105424-118780	LOC100861532	0.0	0.566	0.434
chr5:87960263-87974262	LINC00461	0.0	0.566	0.434
chrX:15262109-15288293	ASB9	0.0	0.566	0.434
chr3:118227258-118529680	LOC105374060	0.0	0.566	0.434
chr9:112137974-112180063	PTPN3	0.0	0.566	0.434
chr9:112137974-112213664	PTPN3	0.0	0.566	0.434
chr5:87960263-87969146	LINC00461	0.0	0.566	0.434
chr9:112137974-112260593	PTPN3	0.0	0.566	0.434
chr1:206317459-206332104	CTSE	0.0	0.566	0.434
chr2:198669426-199014608	PLCL1	0.0	0.566	0.434
chr2:181556831-181781666	SCHLAP1	0.0	0.566	0.434
chr5:97421570-97496943	LINC01846	0.0	0.566	0.434
chr11:133653566-133680271	LOC646522	0.0	0.566	0.434
chr2:219940046-220025587	NHEJ1	0.0	0.566	0.434
chr14:64699747-64761128	ESR2	0.0	0.566	0.434
chrUn_gl000220:105424-118780	LOC100861532	0.0	0.566	0.434
chr14:85999666-86029396	FLRT2	0.0	0.566	0.434
chr4:48018789-48042190	NIPAL1	0.0	0.566	0.434
chr11:19372271-20143147	NAV2	0.0	0.566	0.434
chr5:35960858-36001130	UGT3A1	0.0	0.566	0.434
chr5:9641427-9903936	LINC02112	0.0	0.566	0.434
chr20:20370272-20693266	RALGAPA2	0.0	0.566	0.434
chr6:167871477-167885013	LOC105378127	0.0	0.566	0.434
chr4:38422283-38524801	LINC01258	0.0	0.566	0.434
chr11:123430970-123498479	GRAMD1B	0.0	0.566	0.434
chrX:65815482-65835872	EDA2R	0.0	0.566	0.434
chr2:27719706-27746550	GCKR	0.0	0.566	0.434
chr8:42552519-42592550	CHRNB3	0.0	0.566	0.434
chrX:65815482-65859140	EDA2R	0.0	0.566	0.434
chr8:129965125-129978247	LINC00976	0.0	0.566	0.434
chr2:69240276-69399689	ANTXR1	0.0	0.566	0.434
chr5:35065191-35118224	PRLR	0.0	0.566	0.434
chr4:1065266-1107352	RNF212	0.0	0.566	0.434
chr5:166332227-166353375	LINC01947	0.0	0.566	0.434
chr5:32711438-32791830	NPR3	0.0	0.566	0.434
chr3:42947658-42960825	ZNF662	0.0	0.566	0.434
chr7:31556978-31696116	CCDC129	0.0	0.566	0.434
chr1:180199433-180244188	LHX4	0.0	0.566	0.434
chr5:169673237-169724846	LCP2	0.0	0.566	0.434
chr5:32227113-32313114	MTMR12	0.0	0.566	0.434
chr10:2488447-2543654	LOC105376351	0.0	0.566	0.434
chr2:69240276-69373496	ANTXR1	0.0	0.566	0.434
chr6:88299785-88377172	ORC3	0.0	0.566	0.434
chr4:25000471-25032414	LGI2	0.0	0.566	0.434
chr14:94770585-94789688	SERPINA6	0.0	0.566	0.434
chrX:101087085-101112549	NXF5	0.0	0.566	0.434
chr7:140774032-141180179	TMEM178B	0.0	0.566	0.434
chr4:41362648-41702061	LIMCH1	0.0	0.566	0.434
chr6:97372496-97562618	KLHL32	0.0	0.566	0.434
chr3:193766703-193787318	LINC02028	0.0	0.566	0.434
chr8:67039278-67087718	TRIM55	0.0	0.566	0.434
chr4:41540174-41702061	LIMCH1	0.0	0.566	0.434
chr15:81589254-81605104	IL16	0.0	0.566	0.434
chr3:190984944-191048325	UTS2B	0.0	0.566	0.434
chr12:64173583-64203338	TMEM5	0.0	0.566	0.434
chr5:179382067-179499118	RNF130	0.0	0.566	0.434
chr3:24192815-24231447	LOC101927854	0.0	0.566	0.434
chr11:93754378-93847374	HEPHL1	0.0	0.566	0.434
chr6:96463845-96663488	FUT9	0.0	0.566	0.434
chr3:26666158-26752265	LRRC3B	0.0	0.566	0.434
chr11:94822974-94865815	ENDOD1	0.0	0.566	0.434
chr13:45373640-45383766	LINC00330	0.0	0.568	0.432
chr11:73745477-73882064	C2CD3	0.0	0.568	0.432
chr18:77915117-78005397	PARD6G	0.0	0.568	0.432
chr2:14368998-14541082	LINC00276	0.0	0.568	0.432
chr20:57226309-57254582	STX16	0.0	0.568	0.432
chr20:57226309-57290900	STX16-NPEPL1	0.0	0.568	0.432
chr2:191833762-191878976	STAT1	0.0	0.568	0.432
chr12:15094949-15104040	ARHGDIB	0.0	0.568	0.432
chr11:132284559-132813532	OPCML	0.0	0.568	0.432
chr2:114299048-114326515	PGM5P4	0.0	0.568	0.432
chr17:27952957-28257058	SSH2	0.0	0.568	0.432
chr19:53452632-53466164	ZNF816	0.0	0.568	0.432
chr12:15094949-15114200	ARHGDIB	0.0	0.568	0.432
chr19:16472389-16582823	EPS15L1	0.0	0.568	0.432
chr12:9392599-9415473	LINC00987	0.0	0.568	0.432
chr15:82422561-82554869	EFL1	0.0	0.568	0.432
chr12:15094949-15104085	ARHGDIB	0.0	0.568	0.432
chr13:46627322-46679211	CPB2	0.0	0.568	0.432
chr2:198435527-198540584	RFTN2	0.0	0.568	0.432
chr17:34261522-34270714	LYZL6	0.0	0.568	0.432
chr18:73127972-73139658	SMIM21	0.0	0.568	0.432
chr15:44162959-44487492	FRMD5	0.0	0.568	0.432
chr2:227664875-227863923	RHBDD1	0.0	0.568	0.432
chr12:43040385-43080503	LINC02451	0.0	0.568	0.432
chr11:131240371-132206716	NTM	0.0	0.568	0.432
chr20:44689626-44718580	NCOA5	0.0	0.568	0.432
chr11:94278498-94473521	LOC105369438	0.0	0.568	0.432
chr13:79361454-79414185	LINC00331	0.0	0.568	0.432
chr16:29985188-29999726	TAOK2	0.0	0.568	0.432
chr16:29985188-30003582	TAOK2	0.0	0.568	0.432
